tls:012a..c3d6,31.7.194.205:35000
tls:01b1..a5aa,65.21.129.12:35000
tls:0295..1432,209.63.22.164:35000
tls:031d..65bc,185.69.166.157:58940
tls:0382..05c3,108.28.233.74:50174
tls:0395..925d,45.76.251.225:35000
tls:03a8..1db1,65.21.77.15:35000
tls:0408..3296,195.201.86.100:35000
tls:0625..74da,178.238.235.196:35000
tls:06ed..b621,20.51.219.57:35000
tls:095f..9e08,15.235.42.173:35000
tls:098a..e82f,18.211.167.12:46868
tls:09c2..446c,142.132.213.208:35000
tls:09d2..e4b6,35.180.42.211:35000
tls:0f48..f0f8,34.192.231.34:35000
tls:0f8c..5b3a,65.21.132.27:35000
tls:0fb7..0616,54.151.24.120:35000
tls:1172..7137,65.108.8.183:35000
tls:1185..3246,142.132.146.174:35000
tls:123f..b0ea,54.95.111.42:35000
tls:1257..38cd,54.247.61.149:37080
tls:1277..abed,35.73.228.244:35000
tls:1304..44b7,65.108.79.253:35000
tls:14c5..0e1d,65.108.70.4:35000
tls:14d8..6698,5.9.57.61:35000
tls:15da..b69c,66.183.140.146:2359
tls:15e2..67bf,65.108.138.96:46802
tls:1640..08ce,85.14.245.232:35000
tls:164c..e165,51.142.206.167:35000
tls:17fb..0930,63.33.251.206:35000
tls:1802..83f8,54.238.212.246:8008
tls:186f..3b40,3.38.86.88:35000
tls:1886..0da2,1.15.171.36:35000
tls:1963..04f4,88.198.10.124:35000
tls:1a2d..3477,88.99.167.167:35000
tls:1b98..8cd8,34.238.226.254:55812
tls:1bf4..f911,207.154.203.69:35000
tls:1d04..6783,138.201.248.167:35000
tls:1e26..6a46,194.163.142.120:35000
tls:1e58..ac2e,45.77.35.1:35000
tls:1f6e..dd24,95.217.87.28:35000
tls:211a..3054,45.32.123.147:35000
tls:218f..e242,35.152.42.229:35000
tls:2288..44e2,138.201.8.83:35000
tls:26d9..7a52,37.156.246.222:35000
tls:29ee..94d9,3.17.29.6:35000
tls:2ac5..8474,185.206.122.41:56452
tls:2b13..3241,3.142.224.108:35000
tls:2b51..179a,135.181.216.81:35000
tls:2e98..3796,54.180.220.20:35000
tls:2f4f..2fb2,15.188.217.144:35000
tls:3167..da8c,178.63.16.121:35000
tls:3188..f700,168.119.209.31:35000
tls:332a..64b4,72.69.58.20:35000
tls:35a4..af5f,192.145.46.129:35000
tls:35c7..397e,54.196.244.214:35000
tls:363f..3da1,78.159.84.140:35000
tls:3682..7be2,47.52.252.183:7025
tls:37eb..cf43,185.206.122.41:56164
tls:3853..03de,65.108.105.233:35000
tls:391f..a0a3,135.125.98.178:35000
tls:3aed..587e,54.39.129.78:35000
tls:3b3f..b097,95.217.87.171:39836
tls:3d71..620c,45.83.105.222:35000
tls:3e04..3517,135.181.213.110:35000
tls:3f7d..d5bf,135.181.76.244:35000
tls:3f81..d4c6,88.99.150.222:35000
tls:405a..8d6a,65.108.73.111:35000
tls:4620..08c0,65.108.103.140:35000
tls:4674..be92,34.124.206.176:35000
tls:46d6..5280,178.170.39.168:35000
tls:470c..3c8d,3.37.52.85:35000
tls:4765..8339,142.44.212.193:35000
tls:47b7..d3d0,167.86.93.101:35000
tls:4850..db96,142.44.212.193:58708
tls:4865..0ceb,209.145.55.218:35000
tls:4890..1cbc,35.73.250.139:35000
tls:49ff..9344,89.217.210.216:35000
tls:4b35..51fe,52.1.63.154:58370
tls:4e71..d4a7,66.183.140.146:35000
tls:4e9f..aa04,5.189.131.178:35000
tls:53f5..83f7,202.61.229.102:35000
tls:5427..bc3f,74.101.168.47:57064
tls:563e..34b4,185.206.122.34:46808
tls:5691..0427,94.23.7.102:35000
tls:5714..444a,8.210.26.145:35000
tls:5786..16b7,94.130.141.117:35000
tls:58d6..2b67,167.86.68.146:48406
tls:58e5..4e63,135.181.165.110:35000
tls:5dfa..4a6e,210.54.39.41:35000
tls:5e38..a7f7,88.99.95.7:35000
tls:5ee3..f8fa,18.219.70.138:35000
tls:60a3..af04,75.119.158.93:35000
tls:6252..0a7d,194.163.128.178:35000
tls:63d0..5df4,54.221.136.62:59014
tls:642e..cdb4,65.108.71.178:35000
tls:65a6..ab2e,143.110.209.206:35000
tls:68c0..99b8,47.243.99.225:35000
tls:6a42..58e0,45.32.119.98:35000
tls:6a9d..5ebf,159.69.171.133:35000
tls:6ae3..cf87,13.91.109.211:35000
tls:6d37..1135,46.4.38.221:35000
tls:6d9f..e448,188.214.130.7:35000
tls:6e33..a788,34.193.183.7:37252
tls:6ec9..a588,18.188.108.92:35000
tls:7058..8f8d,65.108.138.96:35000
tls:7156..4570,54.81.68.149:35148
tls:71b6..eddc,185.206.122.143:46884
tls:735b..a9d1,142.132.140.147:35000
tls:735e..6c03,185.206.122.41:40574
tls:7399..5082,45.132.244.53:35000
tls:744f..cf11,3.12.207.193:35000
tls:748e..9fef,135.181.56.68:35000
tls:75f9..8c6d,207.148.75.50:35000
tls:7739..964f,18.163.179.161:35000
tls:7d4e..6717,47.57.239.181:35000
tls:7df9..05c3,13.36.47.127:35000
tls:81bc..5a05,162.55.128.55:35000
tls:8278..2684,194.233.84.183:37538
tls:8285..4a09,35.72.137.182:35000
tls:83e7..8ae5,134.209.243.124:35000
tls:8750..1dc0,88.99.141.187:35000
tls:8753..2ad3,18.221.38.28:35000
tls:8a45..21cd,74.101.168.47:35000
tls:8aec..30b4,44.227.221.218:35000
tls:8b0a..f410,145.14.14.209:35000
tls:8b97..4619,18.167.35.49:35000
tls:8ce3..b581,148.251.190.103:35000
tls:8d11..f769,35.76.10.90:35000
tls:90b9..db3f,3.95.25.179:44694
tls:92d3..b643,54.247.61.149:35000
tls:934e..729a,52.193.11.242:35000
tls:935c..989f,34.224.26.224:54262
tls:93ed..46dc,65.108.97.204:35000
tls:94bd..dce2,65.108.111.223:35000
tls:9547..6a8b,37.230.138.176:35000
tls:964b..8b4e,52.30.27.14:35000
tls:96c5..5e99,185.246.84.43:35000
tls:9946..828d,184.169.144.10:35000
tls:9a1c..d518,52.210.248.74:35000
tls:9aa1..ded9,13.214.192.111:35000
tls:9ab5..0e25,3.17.72.47:35000
tls:9d24..6022,144.76.85.204:35000
tls:9e0e..2baf,13.58.71.180:35000
tls:9e2e..0592,54.39.129.79:35000
tls:9e67..2e39,185.173.155.16:35000
tls:9e68..782d,142.132.194.120:35000
tls:9f24..e448,54.158.243.105:49150
tls:9f9a..d40a,35.170.236.227:58442
tls:9fe8..035e,5.9.57.61:39498
tls:a091..2c43,65.108.120.103:35000
tls:a09e..042b,168.119.137.143:35000
tls:a0cd..238e,188.40.16.94:35000
tls:a25e..c881,65.108.100.26:35000
tls:a2a7..d6f7,34.227.237.248:38664
tls:a2f3..dd5f,66.183.140.146:1151
tls:a59c..c188,135.181.218.163:35000
tls:aada..a542,161.97.135.176:35000
tls:adb4..954e,65.108.69.41:35000
tls:ae65..f5ef,146.0.32.213:35000
tls:af6d..9a16,159.65.200.199:35000
tls:af9c..044c,65.108.125.224:35000
tls:b004..a954,44.196.132.164:35000
tls:b14d..9a35,68.183.198.140:35000
tls:b184..9e36,65.108.127.242:35000
tls:b286..f165,99.81.225.72:35000
tls:b352..bf0d,157.90.131.121:35000
tls:b3f7..3f4f,185.206.122.42:48488
tls:b616..b64d,95.216.37.106:35000
tls:b627..dc4d,157.90.131.49:35000
tls:b6e4..0b5d,168.119.69.6:35000
tls:b779..b0f2,185.193.67.120:35000
tls:b7b6..dc5e,34.201.44.233:35000
tls:b802..c28e,3.225.239.190:59506
tls:b811..beaf,161.97.65.170:35000
tls:b9ba..1dfa,149.56.24.123:35000
tls:be8d..f5ec,18.235.99.93:46074
tls:bf3d..cd21,3.1.164.247:35000
tls:bf52..27fc,52.55.137.188:35000
tls:c114..983c,65.108.101.62:35000
tls:c68f..5811,18.167.5.160:35000
tls:c716..9b6c,18.188.103.230:35000
tls:cb72..ac35,65.21.236.196:35000
tls:cbd7..1af1,54.39.133.124:35000
tls:cd01..df0c,47.57.239.181:35001
tls:cf51..775e,185.206.122.45:56818
tls:cf52..2af1,23.88.18.142:35000
tls:d07a..86ea,13.214.108.36:35000
tls:d0dc..0f59,188.40.83.254:35000
tls:d1b2..3d26,3.221.194.62:35000
tls:d220..3be9,47.88.87.63:35000
tls:d28e..b563,161.97.143.67:35000
tls:d383..0d7d,47.241.188.17:35000
tls:d682..8124,46.39.250.149:35000
tls:d79b..e934,3.14.161.135:35000
tls:d7a7..50e4,66.42.55.195:35000
tls:d7ce..26a9,167.86.68.146:35000
tls:d9a5..d542,135.181.214.157:35000
tls:dc76..ffd9,65.108.75.179:35000
tls:dc79..47fe,143.110.215.132:35000
tls:dd28..c53b,13.213.150.226:35000
tls:de53..c56f,35.74.5.87:35000
tls:df4c..3a9b,65.108.73.74:35000
tls:df73..7a55,46.101.61.107:35000
tls:e138..eed1,207.244.238.45:35000
tls:e353..e94b,159.65.198.176:54988
tls:e45b..3397,47.242.53.164:35000
tls:e58d..8d96,54.164.105.188:35000
tls:e947..7d32,3.144.69.226:35000
tls:eb54..0806,13.51.218.68:35000
tls:ee1e..3161,134.209.110.11:35000
tls:ee4e..e8be,143.110.217.33:35000
tls:ee9a..0c92,3.35.152.109:35000
tls:ef75..42f0,3.135.134.105:35000
tls:f056..258c,65.108.78.120:35000
tls:f1f3..9bf3,217.27.92.246:10035
